model,accuracy,precision,recall,f1
str,0.17365300379508275,0.22888155227442386,0.17365300379508275,0.1968172606512169
DecisionTreeClassifier,0.9391065635138508,0.9390888623614293,0.9391065635138508,0.9390957091259523
RandomForestClassifier,0.929666187619941,0.9295340245771484,0.929666187619941,0.9292548645806284
Sequential,0.8502792716026306,0.6822107269003752,0.6783301635930226,0.6452499188090677
